Attribute,Commodity,CommodityType,Units,YearType,Year,Value
Beginning stocks,Barley,Crops,Million bushels,Market year,2017/18,106
Beginning stocks,Barley,Crops,Million bushels,Market year,2018/19,94
Beginning stocks,Barley,Crops,Million bushels,Market year,2019/20,88
Beginning stocks,Barley,Crops,Million bushels,Market year,2020/21,87
Beginning stocks,Barley,Crops,Million bushels,Market year,2021/22,83
Beginning stocks,Barley,Crops,Million bushels,Market year,2022/23,83
Beginning stocks,Barley,Crops,Million bushels,Market year,2023/24,85
Beginning stocks,Barley,Crops,Million bushels,Market year,2024/25,91
Beginning stocks,Barley,Crops,Million bushels,Market year,2025/26,94
Beginning stocks,Barley,Crops,Million bushels,Market year,2026/27,93
Beginning stocks,Barley,Crops,Million bushels,Market year,2027/28,94
Beginning stocks,Barley,Crops,Million bushels,Market year,2028/29,97
Domestic,Barley,Crops,Million bushels,Market year,2017/18,158
Domestic,Barley,Crops,Million bushels,Market year,2018/19,170
Domestic,Barley,Crops,Million bushels,Market year,2019/20,175
Domestic,Barley,Crops,Million bushels,Market year,2020/21,180
Domestic,Barley,Crops,Million bushels,Market year,2021/22,185
Domestic,Barley,Crops,Million bushels,Market year,2022/23,185
Domestic,Barley,Crops,Million bushels,Market year,2023/24,190
Domestic,Barley,Crops,Million bushels,Market year,2024/25,195
Domestic,Barley,Crops,Million bushels,Market year,2025/26,200
Domestic,Barley,Crops,Million bushels,Market year,2026/27,200
Domestic,Barley,Crops,Million bushels,Market year,2027/28,200
Domestic,Barley,Crops,Million bushels,Market year,2028/29,205
Ending stocks,Barley,Crops,Million bushels,Market year,2017/18,94
Ending stocks,Barley,Crops,Million bushels,Market year,2018/19,88
Ending stocks,Barley,Crops,Million bushels,Market year,2019/20,87
Ending stocks,Barley,Crops,Million bushels,Market year,2020/21,83
Ending stocks,Barley,Crops,Million bushels,Market year,2021/22,83
Ending stocks,Barley,Crops,Million bushels,Market year,2022/23,85
Ending stocks,Barley,Crops,Million bushels,Market year,2023/24,91
Ending stocks,Barley,Crops,Million bushels,Market year,2024/25,94
Ending stocks,Barley,Crops,Million bushels,Market year,2025/26,93
Ending stocks,Barley,Crops,Million bushels,Market year,2026/27,94
Ending stocks,Barley,Crops,Million bushels,Market year,2027/28,97
Ending stocks,Barley,Crops,Million bushels,Market year,2028/29,96
Exports,Barley,Crops,Million bushels,Market year,2017/18,5
Exports,Barley,Crops,Million bushels,Market year,2018/19,5
Exports,Barley,Crops,Million bushels,Market year,2019/20,5
Exports,Barley,Crops,Million bushels,Market year,2020/21,5
Exports,Barley,Crops,Million bushels,Market year,2021/22,5
Exports,Barley,Crops,Million bushels,Market year,2022/23,5
Exports,Barley,Crops,Million bushels,Market year,2023/24,5
Exports,Barley,Crops,Million bushels,Market year,2024/25,5
Exports,Barley,Crops,Million bushels,Market year,2025/26,5
Exports,Barley,Crops,Million bushels,Market year,2026/27,5
Exports,Barley,Crops,Million bushels,Market year,2027/28,5
Exports,Barley,Crops,Million bushels,Market year,2028/29,5
Farm price,Barley,Crops,Dollars per bushel,Market year,2017/18,4.47
Farm price,Barley,Crops,Dollars per bushel,Market year,2018/19,4.65
Farm price,Barley,Crops,Dollars per bushel,Market year,2019/20,4.75
Farm price,Barley,Crops,Dollars per bushel,Market year,2020/21,4.75
Farm price,Barley,Crops,Dollars per bushel,Market year,2021/22,4.8
Farm price,Barley,Crops,Dollars per bushel,Market year,2022/23,4.9
Farm price,Barley,Crops,Dollars per bushel,Market year,2023/24,4.75
Farm price,Barley,Crops,Dollars per bushel,Market year,2024/25,4.65
Farm price,Barley,Crops,Dollars per bushel,Market year,2025/26,4.65
Farm price,Barley,Crops,Dollars per bushel,Market year,2026/27,4.55
Farm price,Barley,Crops,Dollars per bushel,Market year,2027/28,4.55
Farm price,Barley,Crops,Dollars per bushel,Market year,2028/29,4.55
Feed & residual,Barley,Crops,Million bushels,Market year,2017/18,1
