,Commodity,CommodityType,YearType,Year,Beginning stocks,Domestic,Ending stocks,Exports,Farm price,Feed & residual,"Food, seed, & industrial",Harvested acres,Imports,Loan rate,Planted acres,Production,Returns over variable costs (net returns),"Stocks/use ratio, percent",Supply total,Total use/disposition,Variable cost of production (per acre),Variable cost of production (per bushel),Yield/harvested acre,"Beef cattle, farm",Beef cow inventory,"Calves, farm",Cattle inventory,Commercial production,"Feeder steers, Okla. City","Production, farm","Steers, 5-area, all grades",Total cow inventory,Total disappearance,Total production,"Broilers, farm",Disappearance,Federally inspected slaughter,National composite price,Ethanol for fuel,Commercial use: Milkfat basis,Commercial use: Skim solids,Milk per cow,Milk production,Number of cows,Prices: All milk,"Eggs, farm",Hatching use,"New York, Grade A large",Per capita,Retail weight: Broilers,Retail weight: Lamb & mutton,Retail weight: Other chicken,Retail weight: Red meat & poultry,Retail weight: Total beef,Retail weight: Total pork,Retail weight: Total poultry,Retail weight: Total red meat,Retail weight: Total veal,Retail weight: Turkeys,"Hog, inventory Dec.1, previous year","Hogs, farm","National base, live eqv","Milling rate, percent",Variable cost of production (per cwt.),Crushing yields,Prices,Total demand,"Soybean oil, for methyl ester",Crush,Crush margin,Seed & residual,"Hen turkeys, National","Turkey, farm",Variable cost of production (per pound),Food,Seed
0,Barley,Crops,Market year,2017/18,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Barley,Crops,Market year,2018/19,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Barley,Crops,Market year,2019/20,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Barley,Crops,Market year,2020/21,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Barley,Crops,Market year,2021/22,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Barley,Crops,Market year,2022/23,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Barley,Crops,Market year,2023/24,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Barley,Crops,Market year,2024/25,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Barley,Crops,Market year,2025/26,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Barley,Crops,Market year,2026/27,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
