,Commodity,CommodityType,YearType,Year,Beginning stocks,Domestic,Ending stocks,Exports,Farm price,Feed & residual,"Food, seed, & industrial",Harvested acres,Imports,Loan rate,Planted acres,Production,Returns over variable costs (net returns),"Stocks/use ratio, percent",Supply total,Total use/disposition,Variable cost of production (per acre),Variable cost of production (per bushel),Yield/harvested acre,"Beef cattle, farm",Beef cow inventory,"Calves, farm",Cattle inventory,Commercial production,"Feeder steers, Okla. City","Production, farm","Steers, 5-area, all grades",Total cow inventory,Total disappearance,Total production,"Broilers, farm",Disappearance,Federally inspected slaughter,National composite price,Ethanol for fuel,Commercial use: Milkfat basis,Commercial use: Skim solids,Milk per cow,Milk production,Number of cows,Prices: All milk,"Eggs, farm",Hatching use,"New York, Grade A large",Per capita,Retail weight: Broilers,Retail weight: Lamb & mutton,Retail weight: Other chicken,Retail weight: Red meat & poultry,Retail weight: Total beef,Retail weight: Total pork,Retail weight: Total poultry,Retail weight: Total red meat,Retail weight: Total veal,Retail weight: Turkeys,"Hog, inventory Dec.1, previous year","Hogs, farm","National base, live eqv","Milling rate, percent",Variable cost of production (per cwt.),Crushing yields,Prices,Total demand,"Soybean oil, for methyl ester",Crush,Crush margin,Seed & residual,"Hen turkeys, National","Turkey, farm",Variable cost of production (per pound),Food,Seed
0,Barley,Crops,Market year,2017/18,106.0,158.0,94.0,5.0,4.47,1.0,157.0,2.0,9.0,1.95,2.5,142.0,153.0,57.7,257.0,163.0,172.0,2.42,72.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Barley,Crops,Market year,2018/19,94.0,170.0,88.0,5.0,4.65,15.0,155.0,2.0,15.0,1.95,2.5,153.0,185.0,50.3,263.0,175.0,175.0,2.29,77.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Barley,Crops,Market year,2019/20,88.0,175.0,87.0,5.0,4.75,20.0,155.0,2.2,15.0,1.95,2.6,164.0,196.0,48.4,267.0,180.0,178.0,2.39,74.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Barley,Crops,Market year,2020/21,87.0,180.0,83.0,5.0,4.75,25.0,155.0,2.2,15.0,1.95,2.6,166.0,198.0,44.9,268.0,185.0,180.0,2.39,75.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Barley,Crops,Market year,2021/22,83.0,185.0,83.0,5.0,4.8,30.0,155.0,2.3,15.0,1.95,2.7,175.0,204.0,43.7,273.0,190.0,182.0,2.39,76.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Barley,Crops,Market year,2022/23,83.0,185.0,85.0,5.0,4.9,30.0,155.0,2.3,15.0,1.95,2.8,177.0,215.0,44.8,275.0,190.0,185.0,2.4,76.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Barley,Crops,Market year,2023/24,85.0,190.0,91.0,5.0,4.75,35.0,155.0,2.4,15.0,1.95,2.9,186.0,207.0,46.7,286.0,195.0,188.0,2.43,77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Barley,Crops,Market year,2024/25,91.0,195.0,94.0,5.0,4.65,40.0,155.0,2.4,15.0,1.95,2.9,188.0,199.0,47.1,294.0,200.0,191.0,2.44,78.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Barley,Crops,Market year,2025/26,94.0,200.0,93.0,5.0,4.65,45.0,155.0,2.4,15.0,1.95,2.9,189.0,200.0,45.4,298.0,205.0,193.0,2.45,78.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Barley,Crops,Market year,2026/27,93.0,200.0,94.0,5.0,4.55,45.0,155.0,2.4,15.0,1.95,2.9,191.0,196.0,45.9,299.0,205.0,195.0,2.45,79.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Barley,Crops,Market year,2027/28,94.0,200.0,97.0,5.0,4.55,45.0,155.0,2.4,15.0,1.95,2.9,193.0,197.0,47.4,302.0,205.0,198.0,2.46,80.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Barley,Crops,Market year,2028/29,97.0,205.0,96.0,5.0,4.55,50.0,155.0,2.4,15.0,1.95,2.9,194.0,198.0,45.8,306.0,210.0,200.0,2.47,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Beef,Livestock/Dairy,Calendar year,2017/18,757.0,,649.0,2860.0,,,,,2993.0,,,,,,30000.0,,,,,120.17,31210.0,165.17,93705.0,26187.0,145.08,63.0,121.52,40559.0,26491.0,26250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
